,Retail trade  [44-45],,Motor vehicle and parts dealers  [441],,Automobile dealers  [4411],,Other motor vehicle dealers  [4412],,"Automotive parts, accessories and tire stores  [4413]",,Furniture and home furnishings stores  [442],,Furniture stores  [4421],,Home furnishings stores  [4422],,Electronics and appliance stores  [443],,Building material and garden equipment and supplies dealers  [444],,Food and beverage stores  [445],,Grocery stores  [4451],,Specialty food stores  [4452],,"Beer, wine and liquor stores  [4453]",,Health and personal care stores  [446],,Gasoline stations  [447],,Clothing and clothing accessories stores  [448],,Clothing stores  [4481],,Shoe stores  [4482],,"Jewellery, luggage and leather goods stores  [4483]",,"Sporting goods, hobby, book and music stores  [451]",,General merchandise stores  [452],,Miscellaneous store retailers  [453],
Reference period,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted
15-Nov,"44,630,000","44,765,527","11,020,561","11,780,459","9,674,562","10,432,497","486,608","692,315","859,391","655,647","1,583,141","1,461,144","933,094","900,548","650,047","560,597","1,397,146","1,165,556","2,512,584","2,609,168","9,190,709","9,770,863","6,942,562","7,410,629","543,226","551,565","1,704,921","1,808,668","3,380,939","3,342,172","4,389,575","4,570,337","3,067,159","2,603,302","2,438,437","2,042,233","338,237","296,619","290,485","264,450","1,187,882","1,017,480","5,820,200","5,354,596","1,080,105","1,090,451"
15-Dec,"49,078,191","44,452,692","9,826,917","11,628,414","8,747,468","10,306,249","440,382","664,949","639,067","657,216","1,738,582","1,483,323","1,001,515","902,753","737,066","580,571","1,905,128","1,154,538","2,114,173","2,599,990","10,890,415","9,696,907","7,767,007","7,326,830","721,300","546,244","2,402,108","1,823,832","3,887,005","3,335,706","4,307,876","4,440,168","4,181,429","2,643,659","3,169,226","2,063,480","383,061","298,663","629,142","281,516","1,740,266","1,020,906","7,212,202","5,355,826","1,274,199","1,093,256"
16-Jan,"37,415,147","45,132,669","8,903,406","12,077,080","8,022,617","10,688,791","391,852","716,224","488,937","672,065","1,259,676","1,443,631","806,991","896,808","452,685","546,823","952,873","1,136,517","1,831,579","2,681,164","9,012,012","9,712,468","7,191,582","7,344,266","440,545","555,117","1,379,885","1,813,086","3,465,985","3,630,040","3,871,115","4,249,037","1,896,280","2,627,125","1,482,422","2,042,267","232,350","322,946","181,508","261,912","827,111","995,140","4,437,077","5,419,885","958,033","1,160,581"
16-Feb,"36,815,980","45,691,159","9,531,673","12,441,824","8,519,233","10,935,854","540,906","826,262","471,535","679,709","1,211,724","1,485,407","737,780","903,585","473,944","581,822","923,145","1,164,141","1,816,345","2,722,666","8,495,125","9,757,879","6,564,922","7,337,079","477,759","553,109","1,452,444","1,867,691","3,406,817","3,648,458","3,662,724","4,214,157","1,875,455","2,674,417","1,418,813","2,063,516","209,273","325,672","247,369","285,229","722,733","1,016,346","4,228,487","5,416,341","941,751","1,149,523"
16-Mar,"42,763,737","45,042,056","12,179,687","11,843,321","10,923,608","10,396,532","649,754","754,424","606,325","692,365","1,293,859","1,421,252","787,777","872,116","506,082","549,136","1,079,090","1,170,202","2,148,912","2,683,924","9,429,886","9,806,458","7,222,146","7,387,862","541,556","543,140","1,666,184","1,875,457","3,688,926","3,686,157","4,079,684","4,230,466","2,240,769","2,667,042","1,772,879","2,080,357","274,311","331,269","193,580","255,417","847,346","1,018,204","4,741,165","5,352,881","1,034,413","1,162,149"
16-Apr,"46,155,952","45,593,722","13,743,178","12,004,592","12,058,081","10,555,010","871,592","743,831","813,505","705,750","1,462,564","1,521,569","927,744","956,208","534,820","565,361","1,027,156","1,145,814","2,723,583","2,713,695","9,536,122","9,770,475","7,333,441","7,374,602","515,481","544,982","1,687,200","1,850,891","3,658,555","3,684,433","4,272,260","4,492,426","2,450,202","2,623,164","1,894,031","2,037,538","334,674","318,316","221,497","267,310","902,931","1,005,059","5,290,064","5,446,838","1,089,337","1,185,658"
16-May,"48,783,412","45,163,844","13,713,256","11,558,542","11,788,561","10,149,204","1,178,974","733,051","745,721","676,287","1,456,308","1,454,023","906,036","890,272","550,272","563,751","1,001,223","1,157,053","3,499,524","2,634,862","9,982,566","9,913,599","7,540,938","7,469,776","546,603","540,386","1,895,025","1,903,437","3,738,703","3,726,722","4,807,144","4,506,154","2,684,165","2,661,239","2,087,015","2,078,107","351,283","329,220","245,868","253,912","945,737","1,016,189","5,737,715","5,376,579","1,217,071","1,158,882"
16-Jun,"48,892,480","45,467,095","14,042,314","12,020,933","12,194,556","10,573,923","1,152,536","763,355","695,222","683,655","1,441,013","1,454,237","888,273","892,052","552,740","562,185","1,078,416","1,164,767","3,304,993","2,606,366","10,180,253","9,818,992","7,610,616","7,412,748","557,644","544,472","2,011,993","1,861,772","3,678,988","3,729,373","4,975,142","4,663,518","2,527,312","2,606,433","1,973,585","2,024,376","309,931","317,966","243,796","264,090","934,568","988,732","5,481,714","5,253,229","1,247,767","1,160,515"
16-Jul,"47,842,336","45,388,100","12,733,969","11,992,019","11,103,106","10,573,584","991,308","744,315","639,556","674,120","1,495,597","1,444,692","925,802","869,686","569,795","575,006","1,080,280","1,168,460","3,155,022","2,652,804","10,584,240","9,761,985","7,834,897","7,381,053","571,727","552,913","2,177,616","1,828,019","3,620,748","3,721,164","5,013,495","4,544,148","2,527,283","2,621,626","1,962,316","2,025,911","316,377","326,244","248,590","269,471","962,849","996,647","5,461,613","5,305,044","1,207,240","1,179,510"
16-Aug,"47,790,528","45,642,230","13,212,205","11,987,880","11,579,875","10,511,280","959,265","791,659","673,065","684,941","1,577,601","1,488,444","975,024","906,229","602,577","582,215","1,185,664","1,155,547","3,039,953","2,673,408","9,947,783","9,884,663","7,396,029","7,484,036","545,816","551,951","2,005,938","1,848,676","3,705,491","3,764,844","4,977,073","4,586,562","2,635,802","2,617,434","2,022,670","2,010,574","362,734","334,226","250,397","272,634","1,013,562","996,859","5,232,686","5,312,263","1,262,708","1,174,326"
16-Sep,"47,059,911","46,157,092","12,885,428","12,436,335","11,416,089","10,933,973","791,105","814,830","678,235","687,532","1,549,169","1,477,670","963,563","905,277","585,606","572,393","1,229,521","1,175,055","2,969,050","2,695,876","9,876,724","9,807,140","7,472,030","7,397,202","560,433","564,381","1,844,261","1,845,557","3,620,042","3,732,842","4,752,018","4,641,744","2,690,908","2,668,823","2,092,616","2,051,455","360,163","345,429","238,129","271,939","1,076,965","1,022,257","5,121,231","5,305,812","1,288,854","1,193,537"
16-Oct,"46,455,078","46,509,164","12,106,179","12,335,714","10,592,048","10,822,845","672,009","806,504","842,121","706,365","1,529,552","1,512,604","938,151","930,991","591,401","581,614","1,075,201","1,138,152","2,843,383","2,717,306","9,817,989","9,914,587","7,461,335","7,480,422","562,301","558,554","1,794,353","1,875,611","3,736,476","3,722,962","4,909,117","4,866,068","2,792,370","2,699,795","2,181,437","2,075,140","375,911","347,533","235,022","277,122","930,882","1,014,939","5,449,427","5,378,048","1,264,502","1,208,987"
16-Nov,"48,043,147","46,838,497","12,668,979","12,694,038","11,195,401","11,270,497","588,068","792,490","885,511","631,051","1,699,488","1,544,785","1,015,403","965,765","684,085","579,020","1,416,599","1,156,627","2,814,682","2,809,180","9,492,162","9,944,087","7,123,429","7,484,016","553,549","559,103","1,815,184","1,900,968","3,880,439","3,740,485","4,614,402","4,808,763","3,233,152","2,654,990","2,526,807","2,047,590","395,417","331,011","310,928","276,389","1,185,126","987,772","5,811,936","5,289,036","1,226,181","1,208,735"
16-Dec,"51,693,611","47,085,691","10,302,779","12,630,777","9,012,717","10,994,401","581,443","881,866","708,618","754,511","1,792,279","1,520,515","1,050,769","934,324","741,509","586,191","1,806,313","1,123,147","2,304,028","2,859,800","11,546,046","9,808,575","8,187,693","7,385,995","753,451","558,757","2,604,902","1,863,823","4,352,991","3,766,682","5,000,872","5,132,004","4,233,064","2,664,675","3,174,850","2,052,611","448,152","340,741","610,063","271,323","1,707,621","999,286","7,237,918","5,375,078","1,409,700","1,205,152"
17-Jan,"39,636,308","48,507,828","9,902,585","13,298,974","8,885,343","11,726,132","485,644","851,158","531,598","721,683","1,257,047","1,456,487","819,935","931,672","437,112","524,815","999,921","1,209,604","2,011,575","2,935,709","8,872,611","10,101,682","7,111,113","7,663,998","435,005","563,120","1,326,493","1,874,563","3,656,454","3,833,493","4,850,561","5,239,295","1,866,474","2,693,296","1,439,340","2,056,037","230,326","343,662","196,809","293,598","853,227","1,049,540","4,429,697","5,518,353","936,156","1,171,395"
17-Feb,"38,074,136","47,998,966","9,621,067","12,844,319","8,575,909","11,232,168","543,233","865,759","501,925","746,392","1,237,078","1,558,223","766,959","961,942","470,119","596,281","940,365","1,245,205","1,867,716","2,881,420","8,695,740","10,123,407","6,773,283","7,659,962","475,068","569,704","1,447,389","1,893,741","3,538,735","3,885,394","4,419,626","5,022,965","1,898,160","2,760,908","1,442,390","2,135,102","223,703","351,430","232,067","274,376","725,037","1,048,150","4,194,066","5,444,748","936,547","1,184,226"
17-Mar,"46,588,809","48,392,740","13,938,543","13,229,263","12,549,233","11,635,056","716,202","827,520","673,108","766,688","1,458,987","1,548,410","890,291","952,740","568,696","595,670","1,200,419","1,290,711","2,354,043","2,905,926","9,748,331","10,073,448","7,523,928","7,624,112","554,860","580,839","1,669,542","1,868,496","3,890,209","3,855,721","4,905,820","5,037,100","2,255,093","2,659,732","1,753,463","2,048,289","283,019","331,305","218,610","280,138","887,072","1,059,339","4,921,097","5,575,743","1,029,194","1,157,349"
17-Apr,"48,423,073","49,026,144","14,287,828","13,277,267","12,415,217","11,607,304","1,028,448","886,633","844,163","783,331","1,444,815","1,554,022","894,154","947,264","550,661","606,758","1,098,812","1,278,133","2,915,135","3,042,575","9,767,212","10,073,866","7,466,032","7,570,489","617,680","635,522","1,683,501","1,867,855","3,831,317","3,917,981","4,901,008","5,137,208","2,535,623","2,773,053","1,920,770","2,105,802","367,596","360,841","247,257","306,410","960,097","1,074,921","5,619,293","5,716,476","1,061,931","1,180,642"
17-May,"54,057,557","48,817,262","16,562,192","13,424,558","14,282,423","11,804,310","1,363,030","828,684","916,739","791,564","1,578,602","1,556,816","985,496","965,126","593,106","591,690","1,147,673","1,306,592","4,031,356","2,965,402","10,415,709","10,173,369","7,857,224","7,669,531","609,308","599,250","1,949,176","1,904,589","3,960,903","3,873,467","5,266,838","4,960,338","2,775,341","2,725,437","2,093,725","2,074,048","371,564","339,993","310,052","311,396","969,988","1,038,857","6,024,016","5,576,327","1,324,940","1,216,099"
17-Jun,"52,905,969","48,762,398","15,234,165","13,154,503","13,129,082","11,498,854","1,275,924","846,481","829,159","809,167","1,571,373","1,565,220","976,380","967,875","594,994","597,345","1,193,682","1,282,762","3,895,683","3,053,145","10,867,046","10,196,279","8,084,429","7,662,836","643,124","620,973","2,139,493","1,912,470","3,879,887","3,889,156","5,215,354","4,879,588","2,770,028","2,797,630","2,122,298","2,138,865","356,467","356,341","291,263","302,424","1,011,288","1,071,321","5,942,715","5,659,812","1,324,747","1,212,983"
17-Jul,"50,974,136","49,034,886","13,859,559","13,328,627","12,072,073","11,734,560","1,040,233","790,524","747,252","803,543","1,591,473","1,538,529","1,004,405","949,715","587,068","588,815","1,150,919","1,268,704","3,609,415","3,086,659","10,952,786","10,321,477","8,081,655","7,759,615","641,248","627,808","2,229,883","1,934,054","3,787,514","3,927,112","5,318,191","4,870,536","2,655,809","2,772,465","2,051,995","2,131,221","333,653","347,519","270,161","293,725","1,032,003","1,074,966","5,802,361","5,664,076","1,214,106","1,181,735"
17-Aug,"52,091,210","48,952,885","14,879,371","13,346,152","13,153,802","11,774,185","934,547","778,308","791,022","793,659","1,641,583","1,528,851","1,044,269","953,422","597,313","575,429","1,314,037","1,280,490","3,468,538","3,050,348","10,528,908","10,124,400","7,768,012","7,601,015","630,923","631,262","2,129,973","1,892,123","3,850,450","3,879,717","5,505,875","5,089,068","2,905,339","2,785,642","2,245,844","2,145,648","385,696","344,399","273,799","295,596","1,083,149","1,047,263","5,618,388","5,635,818","1,295,572","1,185,136"
17-Sep,"50,105,018","49,034,089","13,602,261","13,250,217","12,037,692","11,613,598","787,453","836,698","777,115","799,921","1,637,375","1,545,645","1,034,197","958,648","603,178","586,997","1,330,495","1,280,464","3,440,362","3,159,635","10,384,825","10,086,810","7,815,511","7,543,803","632,971","633,715","1,936,343","1,909,292","3,749,639","3,851,353","5,328,184","5,257,529","2,794,065","2,744,116","2,179,701","2,111,240","348,811","336,901","265,553","295,976","1,115,522","1,054,991","5,425,447","5,604,175","1,296,844","1,199,153"
17-Oct,"50,626,368","50,389,734","14,371,388","14,195,135","12,663,044","12,551,529","706,191","833,019","1,002,154","810,587","1,565,709","1,545,074","970,653","966,652","595,056","578,422","1,220,445","1,261,079","3,376,377","3,189,008","9,935,274","10,226,958","7,503,459","7,672,354","626,520","625,864","1,805,296","1,928,741","3,971,887","3,896,190","5,373,886","5,308,598","2,828,377","2,766,892","2,218,988","2,135,480","356,494","336,573","252,895","294,838","944,488","1,048,587","5,781,944","5,759,723","1,256,592","1,192,489"
17-Nov,"51,723,467","50,145,631","13,102,242","13,271,529","11,316,281","11,557,728","671,275","891,901","1,114,686","821,900","1,743,935","1,575,574","1,041,534","983,057","702,400","592,517","1,847,126","1,515,718","3,120,733","3,160,941","9,817,581","10,132,003","7,326,962","7,590,802","628,084","630,304","1,862,535","1,910,897","4,092,081","3,915,182","5,424,089","5,587,798","3,512,203","2,835,132","2,731,598","2,186,704","439,405","353,888","341,200","294,540","1,335,571","1,092,287","6,505,684","5,858,351","1,222,222","1,201,116"
17-Dec,"53,621,980","49,765,468","10,712,257","13,452,913","9,394,601","11,739,276","579,507","895,002","738,149","818,635","1,729,845","1,484,970","1,035,040","925,201","694,804","559,769","2,180,394","1,404,827","2,459,482","3,119,650","11,927,605","10,279,930","8,407,925","7,701,016","862,574","639,005","2,657,107","1,939,909","4,262,770","3,747,081","5,492,022","5,611,431","4,272,937","2,755,145","3,184,793","2,116,469","455,660","349,542","632,484","289,134","1,827,789","1,085,011","7,337,697","5,588,802","1,419,182","1,235,709"
18-Jan,"41,458,023","49,760,687","10,215,325","13,179,987","9,066,768","11,485,830","504,237","857,241","644,320","836,916","1,341,389","1,547,229","834,813","949,863","506,576","597,366","1,270,702","1,495,172","2,128,856","3,038,029","9,106,126","10,242,214","7,189,437","7,648,830","497,107","640,110","1,419,582","1,953,274","3,770,676","3,891,769","5,272,227","5,660,590","1,952,912","2,800,086","1,517,094","2,155,177","226,944","338,687","208,874","306,222","877,229","1,062,978","4,555,855","5,644,597","966,726","1,198,034"
18-Feb,"39,461,402","49,697,437","9,960,604","13,295,937","8,858,464","11,577,834","541,262","880,741","560,878","837,362","1,216,381","1,529,318","751,273","942,456","465,108","586,862","943,454","1,262,332","2,054,680","3,171,907","8,781,576","10,197,957","6,771,420","7,620,924","539,810","649,552","1,470,347","1,927,480","3,544,218","3,884,750","4,919,893","5,532,525","1,948,908","2,836,001","1,484,822","2,203,554","219,704","345,803","244,382","286,643","735,366","1,063,882","4,376,170","5,676,884","980,151","1,245,946"
18-Mar,"47,831,646","50,005,289","13,471,103","13,478,620","12,037,119","11,774,231","739,025","885,717","694,958","818,672","1,477,308","1,593,649","913,716","987,893","563,593","605,756","1,122,434","1,228,983","2,481,827","3,150,156","10,307,540","10,200,339","7,812,041","7,608,890","662,692","651,465","1,832,808","1,939,983","3,915,218","3,896,001","5,332,447","5,523,810","2,490,262","2,877,571","1,946,476","2,221,048","296,966","347,631","246,820","308,892","894,123","1,052,588","5,213,424","5,741,434","1,125,960","1,262,138"
18-Apr,"48,611,472","49,633,602","14,430,270","13,100,373","12,492,314","11,408,668","1,037,538","875,080","900,418","816,625","1,492,534","1,571,201","934,715","979,151","557,820","592,050","1,127,511","1,273,086","2,958,899","3,032,085","9,558,987","10,427,228","7,321,722","7,812,549","586,387","646,645","1,650,879","1,968,035","3,786,167","3,886,880","5,394,148","5,602,751","2,503,699","2,832,151","1,939,554","2,207,751","332,725","337,050","231,420","287,350","911,378","1,038,471","5,349,682","5,622,969","1,098,196","1,246,407"
18-May,"57,278,465","50,974,002","17,038,375","13,612,521","14,531,204","11,826,321","1,455,556","895,849","1,051,615","890,350","1,599,731","1,565,793","1,001,396","967,895","598,335","597,898","1,121,102","1,256,680","4,449,788","3,251,644","10,896,413","10,367,102","8,141,768","7,739,739","675,504","654,004","2,079,141","1,973,359","4,010,215","3,916,924","6,274,422","5,933,648","3,051,640","2,919,389","2,339,796","2,259,364","399,444","354,363","312,400","305,663","1,013,283","1,057,893","6,403,769","5,816,756","1,419,728","1,275,652"
18-Jun,"55,084,576","50,811,616","15,456,197","13,513,176","13,332,502","11,793,505","1,252,144","862,334","871,551","857,338","1,565,613","1,554,756","982,346","966,259","583,267","588,497","1,179,069","1,261,026","4,084,996","3,221,460","11,336,173","10,476,063","8,417,673","7,859,901","679,221","650,268","2,239,279","1,965,894","3,897,888","3,928,858","6,097,644","5,801,073","2,927,999","2,910,395","2,267,575","2,252,396","359,279","353,033","301,145","304,966","999,778","1,045,788","6,144,849","5,828,962","1,394,369","1,270,059"
18-Jul,"52,884,347","50,878,761","14,180,169","13,335,819","12,158,870","11,570,362","1,187,639","897,709","833,661","867,747","1,613,852","1,561,869","1,032,870","982,500","580,982","579,369","1,192,863","1,283,943","3,751,218","3,160,336","10,959,877","10,604,692","8,098,955","7,975,839","652,485","646,884","2,208,438","1,981,969","3,768,202","3,915,604","6,377,579","5,904,489","2,814,020","2,952,737","2,191,462","2,287,208","338,438","357,203","284,119","308,325","1,000,612","1,045,615","5,892,036","5,817,514","1,333,919","1,296,143"
18-Aug,"54,231,485","50,960,500","14,754,688","13,520,475","12,850,333","11,754,726","1,051,043","890,915","853,311","874,835","1,659,114","1,545,153","1,057,826","966,485","601,288","578,668","1,343,053","1,280,912","3,543,130","3,138,854","11,267,721","10,603,542","8,225,958","7,928,203","658,118","652,909","2,383,645","2,022,430","3,950,064","3,977,806","6,232,110","5,771,766","3,115,128","2,936,301","2,439,025","2,293,844","400,632","351,349","275,470","291,108","1,116,970","1,063,867","5,831,099","5,832,324","1,418,407","1,289,500"
18-Sep,"51,134,289","51,066,944","13,559,764","13,525,002","11,994,389","11,813,256","755,590","836,442","809,785","875,304","1,633,382","1,561,096","1,041,310","970,683","592,072","590,413","1,283,883","1,268,288","3,267,494","3,090,537","10,717,704","10,718,884","8,166,974","8,094,998","646,031","653,904","1,904,698","1,969,982","3,858,003","4,040,651","5,764,723","5,701,188","2,923,454","2,918,118","2,323,053","2,277,382","336,471","339,453","263,930","301,283","1,107,537","1,048,487","5,692,843","5,934,885","1,325,503","1,259,808"
18-Oct,"52,392,891","51,218,374","14,471,089","13,699,551","12,591,827","11,951,134","741,552","866,131","1,137,710","882,286","1,540,873","1,514,587","932,147","931,737","608,727","582,850","1,334,960","1,315,900","3,330,277","3,077,132","10,386,539","10,606,952","7,797,513","7,933,366","676,410","666,338","1,912,616","2,007,247","4,197,903","4,052,941","5,910,321","5,849,195","2,968,290","2,897,042","2,335,108","2,248,424","370,197","346,955","262,985","301,662","953,945","1,047,677","5,871,369","5,828,569","1,427,325","1,328,831"
18-Nov,"52,267,062","50,502,890","13,127,451","13,457,033","11,338,137","11,736,790","691,733","910,102","1,097,582","810,141","1,708,641","1,533,110","1,028,303","961,376","680,338","571,734","1,794,378","1,438,664","3,021,441","3,045,496","10,303,696","10,467,825","7,650,852","7,817,109","667,580","665,786","1,985,264","1,984,930","4,246,894","4,038,969","5,201,821","5,350,558","3,648,828","2,903,492","2,824,401","2,239,387","455,704","357,556","368,723","306,549","1,280,469","1,040,240","6,585,691","5,902,841","1,347,751","1,324,660"
18-Dec,"53,298,371","50,423,927","10,622,164","13,568,703","9,373,814","11,933,082","555,563","854,620","692,788","781,001","1,750,000","1,521,060","1,047,089","951,505","702,911","569,555","1,913,898","1,262,319","2,443,760","3,138,731","11,934,276","10,643,833","8,435,343","7,989,308","907,236","670,714","2,591,696","1,983,810","4,476,513","3,990,806","5,014,942","5,160,684","4,324,535","2,886,392","3,293,506","2,256,337","440,659","348,080","590,370","281,975","1,705,076","1,028,279","7,647,449","5,916,503","1,465,759","1,306,617"
19-Jan,"42,252,773","50,249,498","10,637,103","13,556,965","9,400,452","11,750,624","534,128","910,231","702,523","896,110","1,338,785","1,550,556","856,999","971,256","481,786","579,301","1,087,122","1,248,437","2,237,378","3,165,449","9,674,547","10,613,236","7,636,651","7,920,521","521,602","664,935","1,516,294","2,027,780","3,866,299","3,995,673","4,679,866","5,058,770","2,072,868","2,904,920","1,648,785","2,289,355","233,516","344,209","190,567","271,357","872,513","1,038,575","4,676,103","5,761,522","1,110,188","1,355,393"
19-Feb,"40,157,195","50,741,964","10,343,541","13,814,834","9,260,208","12,115,424","501,032","827,437","582,302","871,973","1,219,917","1,553,465","756,870","962,389","463,047","591,077","896,640","1,206,896","1,983,758","3,070,858","9,207,828","10,697,682","7,128,536","8,028,285","553,317","662,834","1,525,975","2,006,563","3,637,412","3,999,700","4,513,820","5,183,254","1,969,855","2,877,510","1,496,313","2,231,038","214,860","337,879","258,681","308,592","721,683","1,036,473","4,613,284","5,977,783","1,049,459","1,323,509"
19-Mar,"48,711,547","51,409,039","13,885,356","13,793,629","12,343,759","11,951,068","797,131","951,009","744,466","891,552","1,549,832","1,630,299","964,877","1,010,729","584,955","619,570","1,011,777","1,164,194","2,557,934","3,234,977","10,414,669","10,710,423","8,001,552","8,040,296","617,328","656,338","1,795,789","2,013,789","3,984,964","4,008,987","5,336,314","5,512,945","2,580,874","2,975,268","2,020,084","2,303,479","298,637","348,994","262,153","322,795","846,012","1,028,141","5,352,782","5,999,319","1,191,033","1,350,857"
19-Apr,"50,994,131","51,470,797","15,392,240","13,850,257","13,361,352","12,118,292","1,033,688","854,041","997,200","877,924","1,549,625","1,644,658","959,679","1,022,350","589,946","622,309","1,031,193","1,169,793","3,037,463","3,143,834","10,140,316","10,738,484","7,671,692","8,016,312","654,397","670,562","1,814,227","2,051,610","3,949,444","4,012,071","5,327,892","5,550,853","2,618,427","2,946,336","2,024,688","2,288,424","327,026","337,065","266,712","320,847","931,692","1,048,528","5,801,336","5,994,517","1,214,505","1,371,465"
19-May,"57,836,921","51,344,257","17,359,567","13,890,183","14,897,459","12,134,688","1,424,565","871,408","1,037,544","884,087","1,694,148","1,640,330","1,083,664","1,034,482","610,484","605,849","1,037,968","1,172,396","4,309,518","3,173,587","11,209,862","10,525,518","8,363,512","7,864,483","678,359","662,570","2,167,991","1,998,464","4,111,236","4,024,379","6,152,193","5,706,425","2,939,548","2,852,569","2,250,383","2,215,532","366,250","330,971","322,915","306,066","960,857","1,026,057","6,495,460","5,928,286","1,566,564","1,404,527"
19-Jun,"54,460,659","51,296,380","14,843,233","13,523,111","12,710,784","11,752,755","1,259,185","879,907","873,264","890,448","1,626,011","1,630,654","1,047,838","1,031,992","578,173","598,662","1,044,690","1,177,219","4,198,867","3,333,393","11,146,121","10,590,396","8,240,291","7,894,145","689,566","670,019","2,216,263","2,026,231","3,802,644","3,967,658","5,759,991","5,496,161","3,026,996","2,995,973","2,372,986","2,342,797","361,386","349,255","292,624","303,920","987,321","1,046,705","6,477,088","6,106,056","1,547,697","1,429,055"
19-Jul,"54,483,841","51,478,915","15,068,930","13,731,914","13,052,350","12,002,980","1,153,890","859,656","862,690","869,278","1,670,813","1,624,548","1,064,686","1,029,314","606,127","595,233","1,108,264","1,185,570","3,900,774","3,225,844","11,151,934","10,653,147","8,177,436","7,953,507","691,120","677,328","2,283,377","2,022,312","4,083,650","4,070,670","6,003,388","5,513,041","2,810,562","2,937,028","2,228,703","2,311,470","320,908","337,569","260,950","287,988","985,112","1,039,821","6,164,073","6,043,877","1,536,340","1,453,455"
